ProductID,ProductName,Category,KGPerPallet,SalesUnit,KGPerSalesUnit,Price,COGS,ShelfLife
P040,Premium UHT Variant 40,UHT,800,Carton,10,11.36,10.47,365
P041,Premium Butter Variant 41,Butter,1000,Carton,10,62.37,55.7,180
P042,Premium Cheese Variant 42,Cheese,500,Carton,10,71.19,58.95,90
P043,Premium Cheese Variant 43,Cheese,500,Carton,10,73.08,61.18,365
P044,Premium Butter Variant 44,Butter,800,Carton,10,60.45,53.51,180
P045,Premium Cheese Variant 45,Cheese,800,Carton,10,79.79,66.37,90
P046,Premium UHT Variant 46,UHT,500,Carton,10,10.45,9.22,365
P047,Premium Cheese Variant 47,Cheese,800,Carton,10,81.91,64.98,365
P048,Premium UHT Variant 48,UHT,800,Carton,10,12.83,12.01,365
P049,Premium Butter Variant 49,Butter,800,Carton,10,49.19,42.07,90
P050,Premium Cheese Variant 50,Cheese,500,Carton,10,91.19,71.42,180
P051,Premium UHT Variant 51,UHT,500,Carton,10,8.36,7.68,365
P052,Premium UHT Variant 52,UHT,800,Carton,10,12.38,11.57,180
P053,Premium UHT Variant 53,UHT,1000,Carton,10,11.39,10.55,365
P054,Premium Butter Variant 54,Butter,800,Carton,10,65.43,57.1,90
P055,Premium Butter Variant 55,Butter,1000,Carton,10,58.16,51.56,90
P056,Premium UHT Variant 56,UHT,800,Carton,10,8.42,7.56,180
P057,Premium UHT Variant 57,UHT,500,Carton,10,14.1,12.63,180
P058,Premium Cheese Variant 58,Cheese,800,Carton,10,80.11,63.94,365
P059,Premium Cheese Variant 59,Cheese,500,Carton,10,89.76,74.49,180
P060,Premium Butter Variant 60,Butter,800,Carton,10,62.98,54.25,180
P061,Premium Cheese Variant 61,Cheese,500,Carton,10,84.8,66.83,365
P062,Premium Cheese Variant 62,Cheese,1000,Carton,10,76.62,62.97,365
P063,Premium Cheese Variant 63,Cheese,500,Carton,10,95.21,75.93,90
P064,Premium UHT Variant 64,UHT,1000,Carton,10,10.91,10.25,180
P065,Premium Cheese Variant 65,Cheese,800,Carton,10,99.63,78.11,90
P066,Premium Butter Variant 66,Butter,1000,Carton,10,59.47,51.85,90
P067,Premium Butter Variant 67,Butter,800,Carton,10,57.17,51.09,180
P068,Premium Butter Variant 68,Butter,800,Carton,10,61.38,55.21,180
P069,Premium Butter Variant 69,Butter,800,Carton,10,53.98,46.92,180
P070,Premium Butter Variant 70,Butter,500,Carton,10,63.33,54.25,180
P071,Premium UHT Variant 71,UHT,800,Carton,10,9.26,8.3,365
P072,Premium UHT Variant 72,UHT,800,Carton,10,9.27,8.71,180
P073,Premium UHT Variant 73,UHT,500,Carton,10,9.73,9.16,180
P074,Premium Butter Variant 74,Butter,800,Carton,10,57.87,50.23,180
P075,Premium UHT Variant 75,UHT,1000,Carton,10,9.14,8.3,180
P076,Premium Butter Variant 76,Butter,800,Carton,10,66.45,56.51,90
P077,Premium Cheese Variant 77,Cheese,500,Carton,10,77.11,61.96,180
P078,Premium Butter Variant 78,Butter,1000,Carton,10,56.05,48.57,90
P079,Premium Cheese Variant 79,Cheese,800,Carton,10,90.08,71.58,90
P080,Premium Butter Variant 80,Butter,1000,Carton,10,68.71,59.28,180
P081,Premium Cheese Variant 81,Cheese,500,Carton,10,88.17,71.91,90
P082,Premium Cheese Variant 82,Cheese,500,Carton,10,95.33,82.03,365
P083,Premium Butter Variant 83,Butter,1000,Carton,10,58.95,51.7,180
P084,Premium UHT Variant 84,UHT,800,Carton,10,14.91,13.25,180
P085,Premium UHT Variant 85,UHT,800,Carton,10,8.28,7.35,365
P086,Premium Butter Variant 86,Butter,500,Carton,10,68.35,59.18,90
P087,Premium Powder Variant 87,Powder,1000,Bag,25,255.2,206.05,365
P088,Premium Powder Variant 88,Powder,800,Bag,25,370.64,296.6,730
P089,Premium Butter Variant 89,Butter,500,Carton,10,60.98,54.48,90
P090,Premium Butter Variant 90,Butter,1000,Carton,10,58.04,50.33,180
P091,Premium Cheese Variant 91,Cheese,1000,Carton,10,70.9,57.48,180
P092,Premium Cheese Variant 92,Cheese,800,Carton,10,91.99,73.24,90
P093,Premium Cheese Variant 93,Cheese,500,Carton,10,91.92,73.14,180
P094,Premium UHT Variant 94,UHT,500,Carton,10,14.74,13.24,180
P095,Premium Cheese Variant 95,Cheese,1000,Carton,10,99.36,81.22,180
P096,Premium UHT Variant 96,UHT,800,Carton,10,9.71,9.11,180
P097,Premium Powder Variant 97,Powder,500,Bag,25,253.8,214.85,730
P098,Premium UHT Variant 98,UHT,500,Carton,10,12.2,11.54,365
P099,Premium UHT Variant 99,UHT,500,Carton,10,12.67,11.66,365
P100,Premium Butter Variant 100,Butter,800,Carton,10,69.99,59.66,90
