TransferID,Date,OriginFacilityID,DestinationFacilityID,ProductID,TransferPallets,SupplyChainFlow
STO00087,2024-01-11,F03,F02,P094,50.0,EU to EU Internal
STO00088,2024-01-24,F03,F02,P095,48.0,EU to EU Internal
STO00089,2024-01-17,F03,F02,P096,38.0,EU to EU Internal
STO00090,2024-01-24,F03,F02,P097,37.0,EU to EU Internal
STO00091,2024-01-21,F03,F02,P098,4.0,EU to EU Internal
STO00092,2024-01-18,F03,F02,P099,38.0,EU to EU Internal
STO00093,2024-01-21,F03,F02,P100,38.0,EU to EU Internal
STO00094,2024-01-24,F03,F04,P001,62.0,EU to EU Internal
STO00095,2024-01-19,F03,F04,P002,63.0,EU to EU Internal
STO00096,2024-01-13,F03,F04,P003,84.0,EU to EU Internal
STO00097,2024-01-18,F03,F04,P004,100.0,EU to EU Internal
STO00098,2024-01-21,F03,F04,P005,81.0,EU to EU Internal
STO00099,2024-01-12,F03,F04,P006,34.0,EU to EU Internal
STO00100,2024-01-22,F03,F04,P007,40.0,EU to EU Internal
STO00101,2024-01-16,F03,F04,P008,33.0,EU to EU Internal
STO00102,2024-01-14,F03,F04,P009,19.0,EU to EU Internal
STO00103,2024-01-11,F03,F04,P010,51.0,EU to EU Internal
STO00104,2024-01-16,F03,F04,P011,26.0,EU to EU Internal
STO00105,2024-01-14,F03,F04,P012,33.0,EU to EU Internal
STO00106,2024-01-13,F03,F04,P013,116.0,EU to EU Internal
STO00107,2024-01-24,F03,F04,P014,36.0,EU to EU Internal
STO00108,2024-01-15,F03,F04,P015,126.0,EU to EU Internal
STO00109,2024-01-15,F03,F04,P016,128.0,EU to EU Internal
STO00110,2024-01-11,F03,F04,P018,86.0,EU to EU Internal
STO00111,2024-01-18,F03,F04,P019,89.0,EU to EU Internal
STO00112,2024-01-12,F03,F04,P020,62.0,EU to EU Internal
STO00113,2024-01-15,F03,F04,P021,41.0,EU to EU Internal
STO00114,2024-01-21,F03,F04,P022,135.0,EU to EU Internal
STO00115,2024-01-18,F03,F04,P023,112.0,EU to EU Internal
STO00116,2024-01-22,F03,F04,P024,35.0,EU to EU Internal
STO00117,2024-01-24,F03,F04,P025,24.0,EU to EU Internal
STO00118,2024-01-22,F03,F04,P026,72.0,EU to EU Internal
STO00119,2024-01-12,F03,F04,P027,116.0,EU to EU Internal
STO00120,2024-01-11,F03,F04,P028,101.0,EU to EU Internal
STO00121,2024-01-11,F03,F04,P029,108.0,EU to EU Internal
STO00122,2024-01-13,F03,F04,P030,145.0,EU to EU Internal
STO00123,2024-01-19,F03,F04,P031,88.0,EU to EU Internal
STO00124,2024-01-23,F03,F04,P032,107.0,EU to EU Internal
STO00125,2024-01-18,F03,F04,P033,25.0,EU to EU Internal
STO00126,2024-01-12,F03,F04,P034,67.0,EU to EU Internal
STO00127,2024-01-11,F03,F04,P035,38.0,EU to EU Internal
STO00128,2024-01-16,F03,F04,P036,160.0,EU to EU Internal
STO00129,2024-01-23,F03,F04,P037,91.0,EU to EU Internal
STO00130,2024-01-16,F03,F04,P038,96.0,EU to EU Internal
STO00131,2024-01-11,F03,F04,P039,38.0,EU to EU Internal
STO00132,2024-01-24,F03,F04,P040,83.0,EU to EU Internal
STO00133,2024-01-21,F03,F04,P041,20.0,EU to EU Internal
STO00134,2024-01-11,F03,F04,P042,107.0,EU to EU Internal
STO00135,2024-01-15,F03,F04,P043,130.0,EU to EU Internal
STO00136,2024-01-16,F03,F04,P044,30.0,EU to EU Internal
STO00137,2024-01-13,F03,F04,P045,72.0,EU to EU Internal
STO00138,2024-01-23,F03,F04,P046,103.0,EU to EU Internal
STO00139,2024-01-17,F03,F04,P047,147.0,EU to EU Internal
STO00140,2024-01-18,F03,F04,P048,80.0,EU to EU Internal
STO00141,2024-01-14,F03,F04,P049,28.0,EU to EU Internal
STO00142,2024-01-17,F03,F04,P050,54.0,EU to EU Internal
STO00143,2024-01-19,F03,F04,P051,307.0,EU to EU Internal
STO00144,2024-01-20,F03,F04,P052,129.0,EU to EU Internal
STO00145,2024-01-14,F03,F04,P053,101.0,EU to EU Internal
STO00146,2024-01-13,F03,F04,P054,40.0,EU to EU Internal
STO00147,2024-01-18,F03,F04,P055,44.0,EU to EU Internal
STO00148,2024-01-24,F03,F04,P056,108.0,EU to EU Internal
STO00149,2024-01-17,F03,F04,P057,137.0,EU to EU Internal
STO00150,2024-01-12,F03,F04,P058,130.0,EU to EU Internal
STO00151,2024-01-12,F03,F04,P059,103.0,EU to EU Internal
STO00152,2024-01-20,F03,F04,P060,43.0,EU to EU Internal
STO00153,2024-01-22,F03,F04,P061,124.0,EU to EU Internal
STO00154,2024-01-20,F03,F04,P062,87.0,EU to EU Internal
STO00155,2024-01-19,F03,F04,P063,99.0,EU to EU Internal
STO00156,2024-01-20,F03,F04,P064,64.0,EU to EU Internal
STO00157,2024-01-17,F03,F04,P065,43.0,EU to EU Internal
STO00158,2024-01-21,F03,F04,P066,7.0,EU to EU Internal
STO00159,2024-01-12,F03,F04,P067,7.0,EU to EU Internal
STO00160,2024-01-14,F03,F04,P068,6.0,EU to EU Internal
STO00161,2024-01-23,F03,F04,P069,41.0,EU to EU Internal
STO00162,2024-01-18,F03,F04,P070,47.0,EU to EU Internal
STO00163,2024-01-11,F03,F04,P071,147.0,EU to EU Internal
STO00164,2024-01-13,F03,F04,P072,47.0,EU to EU Internal
STO00165,2024-01-16,F03,F04,P073,139.0,EU to EU Internal
STO00166,2024-01-17,F03,F04,P074,36.0,EU to EU Internal
STO00167,2024-01-16,F03,F04,P075,42.0,EU to EU Internal
STO00168,2024-01-23,F03,F04,P076,56.0,EU to EU Internal
STO00169,2024-01-13,F03,F04,P077,105.0,EU to EU Internal
STO00170,2024-01-21,F03,F04,P078,46.0,EU to EU Internal
STO00171,2024-01-19,F03,F04,P079,167.0,EU to EU Internal
STO00172,2024-01-24,F03,F04,P080,20.0,EU to EU Internal
STO00173,2024-01-18,F03,F04,P081,141.0,EU to EU Internal
STO00174,2024-01-15,F03,F04,P082,113.0,EU to EU Internal
STO00175,2024-01-18,F03,F04,P083,17.0,EU to EU Internal
STO00176,2024-01-24,F03,F04,P084,84.0,EU to EU Internal
STO00177,2024-01-24,F03,F04,P085,128.0,EU to EU Internal
STO00178,2024-01-14,F03,F04,P086,34.0,EU to EU Internal
STO00179,2024-01-15,F03,F04,P087,173.0,EU to EU Internal
STO00180,2024-01-21,F03,F04,P088,40.0,EU to EU Internal
STO00181,2024-01-12,F03,F04,P089,2.0,EU to EU Internal
STO00182,2024-01-20,F03,F04,P091,111.0,EU to EU Internal
STO00183,2024-01-15,F03,F04,P092,127.0,EU to EU Internal
STO00184,2024-01-14,F03,F04,P093,150.0,EU to EU Internal
STO00185,2024-01-17,F03,F04,P094,197.0,EU to EU Internal
STO00186,2024-01-12,F03,F04,P095,59.0,EU to EU Internal
STO00187,2024-01-11,F03,F04,P096,88.0,EU to EU Internal
STO00188,2024-01-17,F03,F04,P097,215.0,EU to EU Internal
STO00189,2024-01-22,F03,F04,P098,224.0,EU to EU Internal
STO00190,2024-01-22,F03,F04,P099,116.0,EU to EU Internal
STO00191,2024-01-13,F03,F04,P100,10.0,EU to EU Internal
STO00192,2024-01-16,F01,F05,P002,16.0,EU to EU Internal
STO00193,2024-01-13,F01,F05,P003,18.0,EU to EU Internal
STO00194,2024-01-23,F01,F05,P005,50.0,EU to EU Internal
STO00195,2024-01-15,F01,F05,P007,11.0,EU to EU Internal
STO00196,2024-01-19,F01,F05,P008,9.0,EU to EU Internal
STO00197,2024-01-18,F01,F05,P009,34.0,EU to EU Internal
STO00198,2024-01-17,F01,F05,P010,39.0,EU to EU Internal
STO00199,2024-01-11,F01,F05,P011,65.0,EU to EU Internal
STO00200,2024-01-22,F01,F05,P012,18.0,EU to EU Internal
STO00201,2024-01-19,F01,F05,P014,18.0,EU to EU Internal
STO00202,2024-01-11,F01,F05,P015,62.0,EU to EU Internal
STO00203,2024-01-23,F01,F05,P017,8.0,EU to EU Internal
STO00204,2024-01-19,F01,F05,P018,16.0,EU to EU Internal
STO00205,2024-01-22,F01,F05,P019,17.0,EU to EU Internal
STO00206,2024-01-15,F01,F05,P020,76.0,EU to EU Internal
STO00207,2024-01-18,F01,F05,P021,36.0,EU to EU Internal
STO00208,2024-01-14,F01,F05,P022,15.0,EU to EU Internal
STO00209,2024-01-20,F01,F05,P023,31.0,EU to EU Internal
STO00210,2024-01-12,F01,F05,P024,32.0,EU to EU Internal
STO00211,2024-01-18,F01,F05,P025,38.0,EU to EU Internal
STO00212,2024-01-14,F01,F05,P026,7.0,EU to EU Internal
STO00213,2024-01-13,F01,F05,P028,45.0,EU to EU Internal
STO00214,2024-01-21,F01,F05,P029,13.0,EU to EU Internal
STO00215,2024-01-18,F01,F05,P030,15.0,EU to EU Internal
STO00216,2024-01-22,F01,F05,P032,41.0,EU to EU Internal
STO00217,2024-01-21,F01,F05,P034,45.0,EU to EU Internal
STO00218,2024-01-18,F01,F05,P035,20.0,EU to EU Internal
STO00219,2024-01-21,F01,F05,P037,5.0,EU to EU Internal
STO00220,2024-01-15,F01,F05,P038,13.0,EU to EU Internal
STO00221,2024-01-23,F01,F05,P039,17.0,EU to EU Internal
STO00222,2024-01-18,F01,F05,P041,14.0,EU to EU Internal
STO00223,2024-01-24,F01,F05,P042,19.0,EU to EU Internal
STO00224,2024-01-18,F01,F05,P043,22.0,EU to EU Internal
STO00225,2024-01-23,F01,F05,P044,21.0,EU to EU Internal
STO00226,2024-01-12,F01,F05,P045,7.0,EU to EU Internal
STO00227,2024-01-24,F01,F05,P046,98.0,EU to EU Internal
STO00228,2024-01-15,F01,F05,P047,12.0,EU to EU Internal
STO00229,2024-01-15,F01,F05,P048,24.0,EU to EU Internal
STO00230,2024-01-15,F01,F05,P049,7.0,EU to EU Internal
STO00231,2024-01-21,F01,F05,P050,10.0,EU to EU Internal
STO00232,2024-01-11,F01,F05,P051,65.0,EU to EU Internal
STO00233,2024-01-11,F01,F05,P052,26.0,EU to EU Internal
STO00234,2024-01-18,F01,F05,P055,9.0,EU to EU Internal
STO00235,2024-01-15,F01,F05,P056,31.0,EU to EU Internal
STO00236,2024-01-14,F01,F05,P057,52.0,EU to EU Internal
STO00237,2024-01-17,F01,F05,P059,45.0,EU to EU Internal
STO00238,2024-01-12,F01,F05,P061,80.0,EU to EU Internal
STO00239,2024-01-20,F01,F05,P062,15.0,EU to EU Internal
STO00240,2024-01-19,F01,F05,P063,16.0,EU to EU Internal
STO00241,2024-01-11,F01,F05,P064,11.0,EU to EU Internal
STO00242,2024-01-17,F01,F05,P065,33.0,EU to EU Internal
STO00243,2024-01-12,F01,F05,P067,24.0,EU to EU Internal
STO00244,2024-01-11,F01,F05,P069,29.0,EU to EU Internal
STO00245,2024-01-20,F01,F05,P070,71.0,EU to EU Internal
STO00246,2024-01-16,F01,F05,P071,22.0,EU to EU Internal
STO00247,2024-01-15,F01,F05,P072,5.0,EU to EU Internal
STO00248,2024-01-21,F01,F05,P073,18.0,EU to EU Internal
STO00249,2024-01-18,F01,F05,P076,13.0,EU to EU Internal
STO00250,2024-01-20,F01,F05,P079,34.0,EU to EU Internal
STO00251,2024-01-11,F01,F05,P080,12.0,EU to EU Internal
STO00252,2024-01-23,F01,F05,P081,27.0,EU to EU Internal
STO00253,2024-01-15,F01,F05,P083,6.0,EU to EU Internal
STO00254,2024-01-11,F01,F05,P084,10.0,EU to EU Internal
STO00255,2024-01-17,F01,F05,P085,25.0,EU to EU Internal
STO00256,2024-01-24,F01,F05,P086,16.0,EU to EU Internal
STO00257,2024-01-11,F01,F05,P087,68.0,EU to EU Internal
STO00258,2024-01-12,F01,F05,P088,65.0,EU to EU Internal
STO00259,2024-01-17,F01,F05,P089,73.0,EU to EU Internal
STO00260,2024-01-14,F01,F05,P090,12.0,EU to EU Internal
STO00261,2024-01-21,F01,F05,P091,28.0,EU to EU Internal
STO00262,2024-01-15,F01,F05,P092,18.0,EU to EU Internal
STO00263,2024-01-17,F01,F05,P093,65.0,EU to EU Internal
STO00264,2024-01-24,F01,F05,P094,29.0,EU to EU Internal
STO00265,2024-01-21,F01,F05,P095,17.0,EU to EU Internal
STO00266,2024-01-15,F01,F05,P096,18.0,EU to EU Internal
STO00267,2024-01-21,F01,F05,P097,59.0,EU to EU Internal
STO00268,2024-01-13,F01,F05,P099,30.0,EU to EU Internal
STO00269,2024-01-16,F01,F06,P001,71.0,EU to EU Internal
STO00270,2024-01-21,F01,F06,P002,38.0,EU to EU Internal
STO00271,2024-01-12,F01,F06,P003,1.0,EU to EU Internal
STO00272,2024-01-23,F01,F06,P004,95.0,EU to EU Internal
STO00273,2024-01-21,F01,F06,P005,112.0,EU to EU Internal
STO00274,2024-01-21,F01,F06,P006,23.0,EU to EU Internal
STO00275,2024-01-13,F01,F06,P007,38.0,EU to EU Internal
STO00276,2024-01-12,F01,F06,P008,55.0,EU to EU Internal
STO00277,2024-01-23,F01,F06,P009,69.0,EU to EU Internal
STO00278,2024-01-19,F01,F06,P010,77.0,EU to EU Internal
STO00279,2024-01-13,F01,F06,P011,119.0,EU to EU Internal
STO00280,2024-01-24,F01,F06,P012,17.0,EU to EU Internal
STO00281,2024-01-23,F01,F06,P013,40.0,EU to EU Internal
STO00282,2024-01-19,F01,F06,P014,58.0,EU to EU Internal
STO00283,2024-01-16,F01,F06,P015,21.0,EU to EU Internal
STO00284,2024-01-19,F01,F06,P016,118.0,EU to EU Internal
STO00285,2024-01-14,F01,F06,P017,51.0,EU to EU Internal
STO00286,2024-01-20,F01,F06,P018,58.0,EU to EU Internal
STO00287,2024-01-12,F01,F06,P019,47.0,EU to EU Internal
STO00288,2024-01-15,F01,F06,P020,80.0,EU to EU Internal
STO00289,2024-01-24,F01,F06,P021,77.0,EU to EU Internal
STO00290,2024-01-17,F01,F06,P022,47.0,EU to EU Internal
STO00291,2024-01-14,F01,F06,P023,82.0,EU to EU Internal
STO00292,2024-01-22,F01,F06,P024,17.0,EU to EU Internal
STO00293,2024-01-11,F01,F06,P025,32.0,EU to EU Internal
STO00294,2024-01-22,F01,F06,P026,18.0,EU to EU Internal
STO00295,2024-01-16,F01,F06,P027,88.0,EU to EU Internal
STO00296,2024-01-18,F01,F06,P028,92.0,EU to EU Internal
STO00297,2024-01-18,F01,F06,P029,34.0,EU to EU Internal
STO00298,2024-01-18,F01,F06,P030,14.0,EU to EU Internal
STO00299,2024-01-19,F01,F06,P031,141.0,EU to EU Internal
STO00300,2024-01-14,F01,F06,P032,57.0,EU to EU Internal
STO00301,2024-01-22,F01,F06,P033,34.0,EU to EU Internal
STO00302,2024-01-12,F01,F06,P034,46.0,EU to EU Internal
STO00303,2024-01-11,F01,F06,P035,25.0,EU to EU Internal
STO00304,2024-01-13,F01,F06,P036,25.0,EU to EU Internal
STO00305,2024-01-24,F01,F06,P037,51.0,EU to EU Internal
STO00306,2024-01-17,F01,F06,P038,18.0,EU to EU Internal
STO00307,2024-01-23,F01,F06,P039,109.0,EU to EU Internal
STO00308,2024-01-21,F01,F06,P040,27.0,EU to EU Internal
STO00309,2024-01-11,F01,F06,P041,41.0,EU to EU Internal
STO00310,2024-01-18,F01,F06,P042,81.0,EU to EU Internal
STO00311,2024-01-23,F01,F06,P043,22.0,EU to EU Internal
STO00312,2024-01-22,F01,F06,P044,38.0,EU to EU Internal
STO00313,2024-01-13,F01,F06,P045,51.0,EU to EU Internal
STO00314,2024-01-20,F01,F06,P046,84.0,EU to EU Internal
STO00315,2024-01-19,F01,F06,P047,38.0,EU to EU Internal
STO00316,2024-01-12,F01,F06,P048,69.0,EU to EU Internal
STO00317,2024-01-18,F01,F06,P049,36.0,EU to EU Internal
STO00318,2024-01-13,F01,F06,P050,190.0,EU to EU Internal
STO00319,2024-01-11,F01,F06,P051,73.0,EU to EU Internal
STO00320,2024-01-21,F01,F06,P052,45.0,EU to EU Internal
STO00321,2024-01-11,F01,F06,P053,29.0,EU to EU Internal
STO00322,2024-01-22,F01,F06,P054,36.0,EU to EU Internal
STO00323,2024-01-11,F01,F06,P055,28.0,EU to EU Internal
STO00324,2024-01-19,F01,F06,P056,22.0,EU to EU Internal
STO00325,2024-01-16,F01,F06,P057,83.0,EU to EU Internal
STO00326,2024-01-12,F01,F06,P058,61.0,EU to EU Internal
STO00327,2024-01-24,F01,F06,P059,96.0,EU to EU Internal
STO00328,2024-01-17,F01,F06,P060,27.0,EU to EU Internal
STO00329,2024-01-11,F01,F06,P061,67.0,EU to EU Internal
STO00330,2024-01-12,F01,F06,P062,59.0,EU to EU Internal
STO00331,2024-01-14,F01,F06,P063,60.0,EU to EU Internal
STO00332,2024-01-13,F01,F06,P064,78.0,EU to EU Internal
STO00333,2024-01-14,F01,F06,P065,60.0,EU to EU Internal
STO00334,2024-01-22,F01,F06,P066,21.0,EU to EU Internal
STO00335,2024-01-11,F01,F06,P067,23.0,EU to EU Internal
STO00336,2024-01-11,F01,F06,P068,30.0,EU to EU Internal
STO00337,2024-01-21,F01,F06,P069,40.0,EU to EU Internal
STO00338,2024-01-16,F01,F06,P070,42.0,EU to EU Internal
STO00339,2024-01-23,F01,F06,P071,53.0,EU to EU Internal
STO00340,2024-01-14,F01,F06,P072,51.0,EU to EU Internal
STO00341,2024-01-15,F01,F06,P073,78.0,EU to EU Internal
STO00342,2024-01-23,F01,F06,P074,32.0,EU to EU Internal
STO00343,2024-01-24,F01,F06,P075,21.0,EU to EU Internal
STO00344,2024-01-13,F01,F06,P076,70.0,EU to EU Internal
STO00345,2024-01-24,F01,F06,P077,74.0,EU to EU Internal
STO00346,2024-01-22,F01,F06,P078,31.0,EU to EU Internal
STO00347,2024-01-14,F01,F06,P079,34.0,EU to EU Internal
STO00348,2024-01-11,F01,F06,P080,42.0,EU to EU Internal
STO00349,2024-01-24,F01,F06,P081,140.0,EU to EU Internal
STO00350,2024-01-23,F01,F06,P082,102.0,EU to EU Internal
STO00351,2024-01-18,F01,F06,P083,23.0,EU to EU Internal
STO00352,2024-01-17,F01,F06,P084,45.0,EU to EU Internal
STO00353,2024-01-16,F01,F06,P085,44.0,EU to EU Internal
STO00354,2024-01-17,F01,F06,P086,73.0,EU to EU Internal
STO00355,2024-01-18,F01,F06,P087,36.0,EU to EU Internal
STO00356,2024-01-15,F01,F06,P088,13.0,EU to EU Internal
STO00357,2024-01-18,F01,F06,P089,114.0,EU to EU Internal
STO00358,2024-01-12,F01,F06,P090,12.0,EU to EU Internal
STO00359,2024-01-20,F01,F06,P091,26.0,EU to EU Internal
STO00360,2024-01-23,F01,F06,P092,52.0,EU to EU Internal
STO00361,2024-01-22,F01,F06,P093,72.0,EU to EU Internal
STO00362,2024-01-22,F01,F06,P094,119.0,EU to EU Internal
STO00363,2024-01-23,F01,F06,P095,40.0,EU to EU Internal
STO00364,2024-01-20,F01,F06,P096,71.0,EU to EU Internal
STO00365,2024-01-14,F01,F06,P097,194.0,EU to EU Internal
STO00366,2024-01-14,F01,F06,P098,87.0,EU to EU Internal
STO00367,2024-01-16,F01,F06,P099,59.0,EU to EU Internal
STO00368,2024-01-24,F01,F06,P100,43.0,EU to EU Internal
STO00369,2024-02-22,F03,F02,P001,80.0,EU to EU Internal
STO00370,2024-02-15,F03,F02,P002,52.0,EU to EU Internal
STO00371,2024-02-17,F03,F02,P003,21.0,EU to EU Internal
STO00372,2024-02-15,F03,F02,P004,81.0,EU to EU Internal
STO00373,2024-02-13,F03,F02,P005,61.0,EU to EU Internal
STO00374,2024-02-18,F03,F02,P006,3.0,EU to EU Internal
STO00375,2024-02-19,F03,F02,P008,31.0,EU to EU Internal
STO00376,2024-02-09,F03,F02,P009,8.0,EU to EU Internal
STO00377,2024-02-15,F03,F02,P010,88.0,EU to EU Internal
STO00378,2024-02-09,F03,F02,P011,27.0,EU to EU Internal
STO00379,2024-02-18,F03,F02,P012,15.0,EU to EU Internal
STO00380,2024-02-11,F03,F02,P013,36.0,EU to EU Internal
STO00381,2024-02-10,F03,F02,P014,75.0,EU to EU Internal
STO00382,2024-02-09,F03,F02,P015,12.0,EU to EU Internal
STO00383,2024-02-15,F03,F02,P016,129.0,EU to EU Internal
STO00384,2024-02-16,F03,F02,P017,18.0,EU to EU Internal
STO00385,2024-02-16,F03,F02,P018,68.0,EU to EU Internal
STO00386,2024-02-09,F03,F02,P019,117.0,EU to EU Internal
STO00387,2024-02-20,F03,F02,P020,12.0,EU to EU Internal
STO00388,2024-02-16,F03,F02,P021,32.0,EU to EU Internal
STO00389,2024-02-12,F03,F02,P022,31.0,EU to EU Internal
STO00390,2024-02-11,F03,F02,P023,36.0,EU to EU Internal
STO00391,2024-02-12,F03,F02,P024,21.0,EU to EU Internal
STO00392,2024-02-21,F03,F02,P026,31.0,EU to EU Internal
STO00393,2024-02-17,F03,F02,P027,81.0,EU to EU Internal
STO00394,2024-02-17,F03,F02,P028,43.0,EU to EU Internal
STO00395,2024-02-19,F03,F02,P029,71.0,EU to EU Internal
STO00396,2024-02-10,F03,F02,P030,51.0,EU to EU Internal
STO00397,2024-02-09,F03,F02,P031,142.0,EU to EU Internal
STO00398,2024-02-21,F03,F02,P032,13.0,EU to EU Internal
STO00399,2024-02-10,F03,F02,P033,21.0,EU to EU Internal
STO00400,2024-02-21,F03,F02,P034,46.0,EU to EU Internal
STO00401,2024-02-22,F03,F02,P035,15.0,EU to EU Internal
STO00402,2024-02-18,F03,F02,P036,73.0,EU to EU Internal
STO00403,2024-02-16,F03,F02,P037,40.0,EU to EU Internal
STO00404,2024-02-22,F03,F02,P038,110.0,EU to EU Internal
STO00405,2024-02-13,F03,F02,P039,1.0,EU to EU Internal
STO00406,2024-02-20,F03,F02,P040,31.0,EU to EU Internal
STO00407,2024-02-17,F03,F02,P041,43.0,EU to EU Internal
STO00408,2024-02-12,F03,F02,P042,64.0,EU to EU Internal
