OrderID,FacilityID,ShipToID,Date,SalesVolume,ProductID,ShipToCountry,ActualPrice
SO000189,F06,ST0137,2024-05-31,252,P032,Germany,9.23
SO000190,F03,ST0169,2025-03-13,313,P003,Spain,94.32
SO000191,F03,ST0109,2025-10-29,100,P043,France,78.36
SO000192,F03,ST0109,2024-01-29,242,P078,France,60.97
SO000193,F02,ST0158,2024-05-24,158,P049,Netherlands,43.07
SO000194,F04,ST0135,2025-04-13,456,P061,Italy,87.02
SO000195,F04,ST0095,2024-06-21,296,P098,Italy,12.52
SO000196,F03,ST0185,2025-04-05,322,P038,Spain,81.91
SO000197,F02,ST0117,2024-01-19,397,P008,Sweden,43.11
SO000198,F03,ST0217,2025-11-13,41,P036,France,97.26
SO000199,F04,ST0195,2024-05-28,87,P071,Italy,9.12
SO000200,F02,ST0140,2024-08-01,422,P024,Netherlands,91.4
SO000201,F03,ST0215,2025-11-27,148,P083,France,66.5
SO000202,F06,ST0068,2024-03-19,447,P046,Germany,10.32
SO000203,F01,ST0011,2025-01-19,187,P073,Germany,9.72
SO000204,F02,ST0213,2025-05-01,280,P074,Netherlands,57.34
SO000205,F01,ST0165,2024-09-07,462,P091,Germany,74.8
SO000206,F04,ST0180,2024-10-02,462,P056,Italy,8.72
SO000207,F01,ST0235,2024-09-25,182,P039,Germany,52.68
SO000208,F03,ST0185,2024-12-20,477,P073,Spain,11.03
SO000209,F04,ST0210,2025-11-09,492,P038,Italy,80.16
SO000210,F03,ST0244,2025-04-29,73,P006,Belgium,53.82
SO000211,F04,ST0142,2025-11-06,223,P027,Italy,107.2
SO000212,F02,ST0005,2024-06-13,118,P021,Sweden,55.85
SO000213,F05,ST0013,2024-10-12,452,P032,Czech Republic,9.55
SO000214,F04,ST0203,2025-12-07,376,P061,Spain,97.81
SO000215,F04,ST0164,2025-04-11,30,P015,Italy,339.82
SO000216,F01,ST0184,2025-07-06,402,P034,Germany,94.39
SO000217,F03,ST0028,2025-02-04,276,P029,France,87.45
SO000218,F04,ST0051,2025-10-25,479,P071,Italy,9.68
SO000219,F06,ST0148,2025-06-16,483,P046,Germany,9.81
SO000220,F04,ST0157,2025-04-23,205,P052,Italy,11.95
SO000221,F06,ST0152,2024-05-21,275,P058,Germany,66.97
SO000222,F06,ST0057,2025-03-22,258,P020,Germany,10.94
SO000223,F04,ST0051,2024-06-24,449,P088,Italy,379.76
SO000224,F02,ST0160,2025-01-04,320,P031,Netherlands,342.25
SO000225,F02,ST0044,2025-02-04,118,P010,Belgium,91.29
SO000226,F06,ST0232,2024-01-17,94,P073,Germany,10.14
SO000227,F03,ST0238,2024-08-02,305,P098,France,11.34
SO000228,F03,ST0096,2025-07-10,354,P038,France,78.22
SO000229,F06,ST0175,2025-11-30,438,P078,Germany,60.61
SO000230,F03,ST0098,2024-09-12,350,P095,Belgium,103.11
SO000231,F02,ST0223,2025-04-12,65,P002,Belgium,86.84
SO000232,F02,ST0193,2024-08-23,71,P038,Netherlands,73.54
SO000233,F03,ST0002,2025-01-13,268,P055,Spain,65.03
SO000234,F06,ST0116,2025-02-26,159,P090,Germany,62.13
SO000235,F01,ST0047,2024-04-04,258,P008,Germany,40.49
SO000236,F02,ST0161,2025-03-09,90,P036,Netherlands,93.17
SO000237,F04,ST0051,2025-11-26,210,P047,Italy,88.17
SO000238,F03,ST0043,2025-11-09,317,P011,France,58.73
SO000239,F04,ST0123,2024-06-19,443,P022,Spain,8.2
SO000240,F02,ST0075,2025-12-22,414,P075,Netherlands,10.11
SO000241,F06,ST0061,2024-09-28,298,P014,Germany,91.36
SO000242,F02,ST0075,2025-07-30,277,P055,Netherlands,61.7
SO000243,F01,ST0101,2024-10-11,488,P058,Germany,89.51
SO000244,F05,ST0115,2025-06-02,205,P019,Czech Republic,354.1
SO000245,F04,ST0072,2024-10-26,123,P081,Italy,93.93
SO000246,F06,ST0175,2024-01-18,155,P100,Germany,79.81
SO000247,F03,ST0231,2025-06-14,33,P024,France,82.64
SO000248,F03,ST0001,2024-10-25,262,P008,France,48.44
SO000249,F06,ST0136,2024-02-25,324,P055,Germany,57.97
SO000250,F03,ST0249,2025-02-17,359,P051,Spain,9.3
SO000251,F03,ST0163,2025-01-16,102,P022,Spain,8.43
SO000252,F02,ST0005,2025-07-01,33,P045,Sweden,82.67
SO000253,F06,ST0097,2025-01-14,188,P024,Sweden,96.47
SO000254,F03,ST0109,2024-03-03,119,P010,France,94.26
SO000255,F06,ST0150,2025-05-06,355,P017,Germany,52.64
SO000256,F04,ST0164,2025-03-17,258,P050,Italy,93.96
SO000257,F02,ST0117,2025-09-06,409,P089,Sweden,55.82
SO000258,F01,ST0107,2024-12-18,187,P022,Germany,9.13
SO000259,F03,ST0167,2025-08-09,55,P022,France,7.58
SO000260,F04,ST0041,2025-07-13,438,P050,Italy,91.3
SO000261,F03,ST0046,2025-12-05,311,P008,France,49.25
SO000262,F02,ST0207,2025-04-26,21,P065,Netherlands,95.17
SO000263,F04,ST0076,2024-01-09,466,P079,Italy,97.32
SO000264,F01,ST0037,2025-08-01,84,P042,Germany,75.65
SO000265,F05,ST0024,2025-01-15,393,P052,Czech Republic,13.39
SO000266,F03,ST0174,2024-11-04,296,P050,France,86.59
SO000267,F02,ST0243,2024-02-18,147,P031,Netherlands,314.14
SO000268,F01,ST0083,2024-07-01,36,P034,Germany,94.08
SO000269,F02,ST0149,2024-09-21,69,P085,Sweden,8.73
SO000270,F04,ST0041,2025-09-14,199,P082,Italy,93.2
SO000271,F01,ST0064,2024-01-14,268,P005,Germany,314.35
SO000272,F03,ST0034,2025-11-30,158,P063,France,101.94
SO000273,F02,ST0193,2025-11-10,120,P081,Netherlands,81.73
SO000274,F04,ST0138,2025-03-10,100,P057,Italy,13.11
SO000275,F06,ST0242,2024-06-11,357,P008,Germany,46.12
SO000276,F04,ST0250,2024-05-11,400,P051,Spain,8.31
SO000277,F01,ST0170,2025-06-01,24,P077,Germany,74.12
SO000278,F04,ST0189,2025-09-16,290,P074,Italy,61.26
SO000279,F03,ST0167,2025-05-05,431,P039,France,43.48
SO000280,F03,ST0114,2025-03-26,298,P037,France,8.45
SO000281,F02,ST0074,2025-08-09,253,P092,Netherlands,89.33
SO000282,F06,ST0137,2024-01-20,226,P095,Germany,113.6
SO000283,F02,ST0161,2025-08-14,436,P051,Netherlands,9.0
SO000284,F03,ST0162,2025-01-06,24,P076,France,67.32
SO000285,F04,ST0144,2025-02-02,289,P045,Italy,84.49
SO000286,F05,ST0013,2025-10-13,463,P012,Czech Republic,57.06
SO000287,F02,ST0044,2024-10-26,274,P091,Belgium,71.73
SO000288,F03,ST0185,2025-05-21,101,P042,Spain,70.01
SO000289,F04,ST0144,2024-01-20,132,P042,Italy,78.42
SO000290,F02,ST0160,2024-12-23,36,P019,Netherlands,429.13
SO000291,F03,ST0052,2025-06-09,320,P033,France,55.55
SO000292,F04,ST0009,2024-10-09,29,P077,Italy,76.51
SO000293,F01,ST0246,2024-10-29,109,P070,Germany,68.26
SO000294,F04,ST0214,2024-12-26,378,P096,Italy,10.53
SO000295,F03,ST0090,2025-04-24,425,P033,France,48.7
SO000296,F04,ST0204,2024-01-29,237,P018,Spain,76.11
SO000297,F03,ST0088,2025-05-19,492,P039,France,46.28
SO000298,F04,ST0091,2025-03-14,175,P019,Italy,378.32
SO000299,F02,ST0223,2024-03-03,483,P076,Belgium,65.87
SO000300,F03,ST0085,2024-01-28,436,P076,France,73.52
SO000301,F04,ST0091,2025-06-29,368,P092,Italy,92.12
SO000302,F04,ST0230,2025-03-21,264,P091,Italy,67.5
SO000303,F03,ST0145,2025-03-02,327,P039,France,48.97
SO000304,F01,ST0137,2025-04-27,77,P058,Germany,78.53
SO000305,F04,ST0221,2025-04-02,118,P030,Italy,77.8
SO000306,F04,ST0171,2024-03-10,137,P043,Italy,73.26
SO000307,F03,ST0046,2025-03-15,488,P058,France,80.73
SO000308,F03,ST0048,2025-03-28,419,P030,France,72.06
SO000309,F03,ST0226,2024-07-16,368,P094,Belgium,13.65
SO000310,F06,ST0073,2024-03-18,370,P061,Germany,88.6
SO000311,F01,ST0232,2025-03-17,442,P040,Germany,10.78
SO000312,F03,ST0093,2024-09-01,487,P021,France,59.93
SO000313,F02,ST0075,2024-11-19,38,P056,Netherlands,9.5
SO000314,F04,ST0214,2025-09-23,338,P063,Italy,99.23
SO000315,F03,ST0018,2024-06-01,481,P041,France,63.98
SO000316,F05,ST0178,2025-10-03,451,P081,Czech Republic,84.2
SO000317,F06,ST0232,2024-05-26,262,P087,Germany,237.31
SO000318,F01,ST0236,2025-09-19,454,P027,Germany,107.87
SO000319,F02,ST0244,2025-03-31,278,P076,Belgium,59.58
SO000320,F01,ST0073,2025-10-07,249,P014,Germany,93.1
SO000321,F04,ST0058,2024-04-17,189,P045,Italy,73.75
SO000322,F03,ST0218,2025-03-31,31,P092,Spain,92.26
SO000323,F04,ST0040,2025-05-31,450,P053,Spain,11.59
SO000324,F03,ST0001,2024-07-22,263,P046,France,10.84
SO000325,F06,ST0081,2025-03-19,395,P094,Germany,15.31
SO000326,F02,ST0089,2025-07-20,421,P093,Belgium,99.0
SO000327,F02,ST0222,2024-12-17,168,P030,Netherlands,77.2
SO000328,F06,ST0092,2024-08-04,230,P049,Germany,44.27
SO000329,F03,ST0183,2024-07-09,240,P035,Belgium,74.96
SO000330,F04,ST0185,2024-06-06,485,P038,Spain,82.22
SO000331,F06,ST0149,2025-01-28,281,P006,Sweden,70.02
SO000332,F02,ST0158,2024-06-16,265,P079,Netherlands,80.07
SO000333,F03,ST0028,2024-02-21,102,P037,France,10.69
SO000334,F03,ST0044,2025-04-13,437,P091,Belgium,66.57
SO000335,F02,ST0207,2024-06-08,55,P014,Netherlands,82.21
SO000336,F06,ST0068,2024-07-31,361,P057,Germany,14.51
SO000337,F03,ST0125,2024-08-11,419,P020,France,9.64
SO000338,F02,ST0183,2025-06-27,222,P081,Belgium,87.86
SO000339,F01,ST0107,2024-04-19,129,P093,Germany,90.94
SO000340,F06,ST0196,2025-09-20,90,P021,Germany,58.67
SO000341,F02,ST0050,2025-03-18,55,P055,Sweden,59.85
SO000342,F04,ST0006,2024-07-01,195,P037,Italy,9.53
SO000343,F04,ST0135,2025-07-24,382,P040,Italy,12.15
SO000344,F01,ST0194,2025-10-02,103,P074,Germany,61.93
SO000345,F04,ST0010,2025-12-11,194,P050,Italy,103.34
SO000346,F01,ST0037,2024-08-31,212,P011,Germany,63.7
SO000347,F06,ST0170,2025-11-04,400,P046,Germany,11.05
SO000348,F06,ST0070,2025-03-02,389,P059,Germany,93.82
SO000349,F03,ST0021,2025-12-21,183,P062,France,82.66
SO000350,F03,ST0001,2024-06-03,318,P067,France,59.7
SO000351,F04,ST0118,2025-03-29,490,P040,Spain,11.63
SO000352,F02,ST0140,2025-06-15,200,P024,Netherlands,87.69
SO000353,F01,ST0194,2024-05-24,155,P002,Germany,87.18
SO000354,F03,ST0146,2024-09-17,63,P044,France,55.12
SO000355,F01,ST0134,2024-06-14,174,P069,Germany,55.84
SO000356,F02,ST0244,2025-12-27,19,P079,Belgium,85.98
SO000357,F06,ST0103,2025-10-06,239,P008,Germany,41.93
SO000358,F03,ST0084,2025-09-12,452,P093,France,82.01
SO000359,F03,ST0096,2024-08-23,81,P045,France,78.96
SO000360,F03,ST0104,2025-02-13,378,P095,France,108.81
SO000361,F03,ST0109,2025-05-07,63,P077,France,75.4
SO000362,F04,ST0190,2025-02-18,388,P072,Spain,9.5
SO000363,F01,ST0246,2025-12-27,282,P022,Germany,8.77
SO000364,F03,ST0241,2025-02-21,199,P006,France,64.51
SO000365,F02,ST0151,2024-01-24,319,P037,Belgium,10.1
SO000366,F05,ST0178,2025-10-17,391,P071,Czech Republic,8.57
SO000367,F06,ST0194,2024-12-03,287,P031,Germany,341.15
SO000368,F03,ST0001,2025-02-16,475,P080,France,73.74
SO000369,F05,ST0031,2025-06-30,489,P081,Czech Republic,93.71
SO000370,F06,ST0097,2024-01-25,251,P024,Sweden,95.07
SO000371,F03,ST0089,2024-11-18,160,P056,Belgium,9.57
SO000372,F04,ST0185,2024-03-04,365,P070,Spain,66.45
SO000373,F03,ST0188,2025-04-09,24,P040,Spain,11.55
SO000374,F04,ST0124,2024-04-02,479,P078,Italy,48.03
SO000375,F01,ST0029,2025-04-23,314,P081,Germany,88.53
SO000376,F05,ST0024,2025-09-21,399,P056,Czech Republic,8.65
SO000377,F04,ST0210,2024-09-19,280,P034,Italy,92.43
SO000378,F06,ST0102,2024-10-31,225,P085,Germany,8.96
SO000379,F06,ST0030,2025-08-27,17,P094,Germany,15.0
SO000380,F01,ST0136,2025-11-27,157,P010,Germany,97.14
SO000381,F05,ST0078,2024-01-14,371,P029,Czech Republic,77.24
SO000382,F03,ST0146,2025-09-19,408,P028,France,85.21
SO000383,F04,ST0221,2024-04-23,255,P052,Italy,12.78
SO000384,F04,ST0142,2024-06-20,107,P004,Italy,275.45
SO000385,F01,ST0152,2024-12-31,33,P051,Germany,7.81
SO000386,F01,ST0067,2025-09-21,247,P068,Germany,57.39
SO000387,F03,ST0028,2025-06-24,255,P074,France,60.11
SO000388,F03,ST0100,2024-10-17,428,P049,France,54.8
SO000389,F06,ST0005,2025-04-10,15,P081,Sweden,86.42
SO000390,F04,ST0091,2025-11-01,139,P018,Italy,76.9
SO000391,F01,ST0083,2025-04-07,288,P015,Germany,326.57
SO000392,F06,ST0194,2024-05-17,496,P074,Germany,57.56
SO000393,F02,ST0207,2025-03-07,180,P029,Netherlands,80.18
SO000394,F02,ST0074,2024-10-11,328,P092,Netherlands,92.91
SO000395,F04,ST0176,2024-02-29,198,P013,Italy,71.43
SO000396,F04,ST0065,2025-12-05,402,P060,Italy,63.11
SO000397,F02,ST0193,2025-06-04,483,P081,Netherlands,78.16
SO000398,F02,ST0149,2024-08-28,369,P096,Sweden,10.37
SO000399,F06,ST0227,2025-10-22,400,P088,Germany,402.15
SO000400,F03,ST0028,2024-06-26,186,P037,France,9.76
SO000401,F06,ST0181,2024-01-31,287,P051,Germany,8.54
SO000402,F01,ST0073,2025-09-27,72,P020,Germany,11.88
SO000403,F02,ST0206,2025-11-15,340,P018,Sweden,78.89
SO000404,F03,ST0106,2025-10-23,402,P091,France,67.8
SO000405,F03,ST0036,2024-04-22,238,P008,France,41.3
SO000406,F06,ST0064,2025-10-12,126,P066,Germany,67.15
SO000407,F04,ST0082,2024-08-16,232,P039,Italy,51.35
SO000408,F04,ST0058,2024-02-08,112,P069,Italy,53.22
SO000409,F03,ST0183,2024-05-22,287,P081,Belgium,83.07
SO000410,F02,ST0023,2024-12-15,432,P089,Belgium,67.24
SO000411,F03,ST0027,2024-12-10,124,P011,France,69.46
SO000412,F03,ST0125,2024-04-14,305,P097,France,210.7
SO000413,F03,ST0125,2025-05-02,419,P017,France,52.86
SO000414,F05,ST0071,2025-06-29,105,P080,Czech Republic,69.02
SO000415,F04,ST0082,2024-12-25,367,P053,Italy,12.68
SO000416,F05,ST0071,2024-01-27,232,P034,Czech Republic,101.94
SO000417,F04,ST0208,2025-06-29,399,P033,Italy,53.42
SO000418,F02,ST0113,2024-10-15,103,P038,Netherlands,89.59
SO000419,F04,ST0079,2024-10-10,441,P013,Italy,81.03
SO000420,F04,ST0051,2025-01-26,277,P047,Italy,88.31
SO000421,F03,ST0106,2024-03-28,262,P076,France,60.3
